eas baseid,cnn,address,zipcode,longitude,latitude,assemdist,bartdist,congdist,nhood,prec_2010,prec_2012,supdist,tractce10,number,number suffix,street,type
338888,12808000,3031 ULLOA ST,94116,-122.48897786,37.74034417,19,8,12,Sunset/Parkside,2444,9445,4,033000,3031,,ULLOA,ST
338942,12810000,3201 ULLOA ST,94116,-122.49085224,37.74026151,19,8,12,Sunset/Parkside,2444,9445,4,033000,3201,,ULLOA,ST
338943,1739000,2519 33RD AVE,94116,-122.49086093,37.74009242,19,8,12,Sunset/Parkside,2444,9445,4,033000,2519,,33RD,AVE
419403,6120000,160 GELLERT DR,94132,-122.49280103,37.73089488,19,8,14,Sunset/Parkside,2729,9724,7,033100,160,,GELLERT,DR
280687,3544000,1255 CALIFORNIA ST,94109,-122.41498459,37.79099451,17,9,12,Nob Hill,3342,7342,3,011901,1255,,CALIFORNIA,ST
281316,12326000,873 SUTTER ST,94109,-122.41468266,37.78823461,17,9,12,Nob Hill,3603,7347,3,012100,873,,SUTTER,ST
283466,8454201,1520 LOMBARD ST,94123,-122.42666698,37.80131386,19,8,12,Marina,3212,9213,2,012901,1520,,LOMBARD,ST
283900,6520000,2383 GREENWICH ST,94123,-122.43878661,37.79836344,19,8,12,Marina,3216,9216,2,012800,2383,,GREENWICH,ST
284072,6516000,1907 GREENWICH ST,94123,-122.43134576,37.79924009,19,8,12,Marina,3218,9218,2,012902,1907,,GREENWICH,ST
284124,5517000,1714 FILBERT ST,94123,-122.42793794,37.79933115,19,8,12,Marina,3218,9218,2,012902,1714,,FILBERT,ST
304945,1764000,450 35TH AVE,94121,-122.49519185,37.78057244,19,8,12,Outer Richmond,2101,9102,1,047802,450,,35TH,AVE
304946,1764000,446 35TH AVE,94121,-122.49519808,37.78065798,19,8,12,Outer Richmond,2101,9102,1,047802,446,,35TH,AVE
304947,1764000,440 35TH AVE,94121,-122.49520556,37.7807608,19,8,12,Outer Richmond,2101,9102,1,047802,440,,35TH,AVE
304948,1764000,434 35TH AVE,94121,-122.4952118,37.78084662,19,8,12,Outer Richmond,2101,9102,1,047802,434,,35TH,AVE
304949,1764000,422 35TH AVE,94121,-122.49522677,37.78105225,19,8,12,Outer Richmond,2101,9102,1,047802,422,,35TH,AVE
304950,1764000,418 35TH AVE,94121,-122.49523175,37.78112079,19,8,12,Outer Richmond,2101,9102,1,047802,418,,35TH,AVE
386749,4597000,80 DARTMOUTH ST,94134,-122.41336775,37.7294817,17,9,12,Portola,2905,7951,9,025701,80,,DARTMOUTH,ST
392664,4699000,19 DELTA ST,94134,-122.40629409,37.71943798,17,8,12,Visitacion Valley,2006,7039,10,026402,19,,DELTA,ST
393583,3644000,534 CAMPBELL AVE,94134,-122.40686789,37.71567095,17,8,12,Visitacion Valley,2006,7039,10,026402,534,,CAMPBELL,AVE
410944,6858000,779 HEAD ST,94132,-122.46475306,37.72111128,19,8,14,Oceanview/Merced/Ingleside,1115,1108,11,031301,779,,HEAD,ST
310603,1681000,762 31ST AVE,94121,-122.49047139,37.7748504,19,8,12,Outer Richmond,2138,9139,1,047801,762,,31ST,AVE
331883,1896000,2179 40TH AVE,94116,-122.49881116,37.74619267,19,8,12,Sunset/Parkside,2437,9436,4,035300,2179,,40TH,AVE
339206,12816000,3721 ULLOA ST,94116,-122.49634612,37.74001898,19,8,12,Sunset/Parkside,2443,9444,4,035300,3721,,ULLOA,ST
339437,12821000,4209 ULLOA ST,94116,-122.50153418,37.73979154,19,8,12,Sunset/Parkside,2442,9443,4,035400,4209,,ULLOA,ST
351108,11805000,23 SHERWOOD CT,94127,-122.45376832,37.73582206,19,8,14,West of Twin Peaks,2739,9735,7,030700,23,,SHERWOOD,CT
351140,11097000,135 ROBINHOOD DR,94127,-122.45587475,37.73687395,19,8,14,West of Twin Peaks,2739,9735,7,030700,135,,ROBINHOOD,DR
351141,11097000,131 ROBINHOOD DR,94127,-122.45600413,37.73690744,19,8,14,West of Twin Peaks,2739,9735,7,030700,131,,ROBINHOOD,DR
351248,9228000,211 MOLIMO DR,94127,-122.44960471,37.73684523,19,8,14,West of Twin Peaks,2750,9737,7,030700,211,,MOLIMO,DR
357048,4591000,625 DARIEN WAY,94127,-122.46451808,37.73161425,19,8,14,West of Twin Peaks,2733,9728,7,030900,625,,DARIEN,WAY
357513,7824000,24 KEYSTONE WAY,94112,-122.46234903,37.72608398,19,8,14,West of Twin Peaks,2749,9748,7,031000,24,,KEYSTONE,WAY
357726,12175000,1125 STEVENSON ST,94103,-122.41989869,37.77344603,17,9,12,Mission,3623,7618,6,020100,1125,,STEVENSON,ST
357785,9106000,1337 MISSION ST,94103,-122.41498826,37.77566575,17,9,12,South of Market,3624,7619,6,017601,1337,,MISSION,ST
